"","CD274-201","CD274-202","CD274-203","CD274-204","CD274-205","CNIH4-201","CNIH4-202","CNIH4-203","CNIH4-204","CNIH4-205","CNIH4-206","CNIH4-207","CNIH4-208"
"HOA7812A239",7.56030645247317,7.56600918419597,7.40082168605961,7.66884016977836,7.10157229046982,7.56098523021569,7.97119153630414,7.10157229046982,7.89434273241261,8.08479124820846,7.93282231736528,8.50018383756835,8.00244893158568
"HOA7812A238",8.10671812160329,8.04121393553414,8.25994398282238,8.05350423279993,8.02181698023892,7.99339111969572,7.84363836329838,8.39624896380371,7.88588664085206,8.11508456642886,8.05336457502872,8.78520550264749,8.1406630446798
"HOA7812A237",7.84358909634523,7.93610217342681,8.11885569434323,7.90450056581294,7.63881924371571,7.71348866677692,8.21358654468911,7.10157229046982,8.09974737223142,8.07176243914562,7.78473214187729,7.82110514095775,8.04330877952797
"HOA7812A236",8.09390849872233,8.09038895738649,8.1967807973684,8.20771023335999,8.15849098515756,7.60736802846262,8.31409902282814,7.9106258674069,8.03226054886243,8.07579261508185,7.99999160858585,7.82110514095775,8.17757229180737
"HOA7812A235",7.86699292064081,8.05227134429514,7.96274905728987,7.995229227371,8.19971151200434,8.34420206079806,7.68612828834074,8.39624896380371,8.15016783496141,8.38556424696245,8.25508288977329,8.6515904750037,8.09115108552844
"HOA7812A234",7.63337433758241,7.78157622887649,7.31336287886443,7.66884016977836,7.68131553174909,8.1054273447891,7.69801508151426,7.10157229046982,7.94312390579911,8.0907380961507,7.88447156900747,7.82110514095775,8.03624517972709
"HOA7812A233",8.86678287696273,9.05883561277644,8.93090160399347,9.08286582638561,9.15242468140885,8.88754703476152,8.88533994095499,8.72146285640238,8.6567118894807,8.47086046076797,8.6684707067581,8.6515904750037,8.57276446031095
"HOA7812A232",8.26205718047832,7.92359887003224,8.33550119293261,8.00523748156597,7.75770196691332,8.07698580073236,8.30343184504168,7.9106258674069,8.27058860747398,8.18611605678008,8.22952725496748,8.50018383756835,8.40055160901329
"HOA7812A231",7.74069737454555,7.57540498190951,7.61805463110305,7.74569413748877,7.54107019687253,7.89989776031686,7.84363836329838,7.10157229046982,7.66562580112971,8.00228014215303,8.03302038614547,8.10912368493168,7.94625230924485
"HOA7812A230",7.86699292064081,7.89961216394469,7.99880655952682,7.96442011718896,8.27705978789896,7.9438264393644,8.38574450232774,8.31738138814753,8.11262658538211,8.0656809405429,7.9687313274433,7.82110514095775,8.11947928558939
"HOA7812A229",8.39565738509698,8.22843524790381,8.12897562245599,8.36024229765173,8.55205928422108,7.89078762113145,8.16523062060394,8.31738138814753,8.15016783496141,8.14529147604492,8.02711426402202,7.10157229046982,8.08224428886934
"HOA7812A228",7.10157229046982,7.47345731263776,7.31336287886443,7.57906638406791,7.59247645124807,7.90889494895498,8.15273033031714,7.10157229046982,7.80477336932867,7.84678097677439,7.7374436407139,7.82110514095775,7.89979831540074
"HOA7812A227",7.93814717511149,8.60951781856947,8.97759945567464,8.72701414718175,8.58019841268251,7.67610915943754,8.25393369197681,8.03187475843205,8.01089626228964,8.18077760495059,7.87367648947869,7.10157229046982,8.13646666551001
"HOA7812A226",7.43358739793075,7.46970979845126,7.31336287886443,7.53779143055011,7.75770196691332,7.63597585603882,7.68612828834074,7.76499130988345,8.01089626228964,7.96860613379333,7.67121995016169,7.82110514095775,7.87102438007353
"HOA7812A225",8.1399859312607,7.99365760528097,8.1967807973684,7.93233094929202,8.59400529024979,7.49031260837591,7.94737765836889,8.03187475843205,7.95870328606086,8.2462306779904,8.10622596671942,8.50018383756835,7.90261338732292
"HOA7812A224",8.22560001394792,8.50716971918212,8.38286498027343,8.43172197622366,8.52318268122726,8.43740797105488,8.10089476875337,8.23168273620822,7.88588664085206,8.00007925830962,8.15605133751001,8.32390689977824,8.02912040361184
"HOA7812A223",8.17598392636487,8.14285020962432,8.15866055632286,8.18781616945424,8.06984796989097,8.76102625917468,7.98667072754703,7.10157229046982,8.43405114553885,8.19845318078052,8.37976314899266,7.82110514095775,8.18557427450721
"HOA7812A222",7.50776109709213,7.61281254631219,7.85721287964535,7.71617393689664,7.59247645124807,7.8335133059066,7.99429758940602,7.10157229046982,7.87732936830404,8.11026959559714,7.80108160106439,8.50018383756835,8.10869286694153
"HOA7812A221",8.06325292064656,8.2947643601969,8.40574753002978,8.29776645335657,8.38266340693736,8.08418512099739,8.55009269352807,7.10157229046982,7.99633254373028,8.14621906473384,8.15605133751001,7.82110514095775,8.3893033978912
"HOA7812A220",7.84358909634523,7.84729850467444,8.03330234059865,7.78067998216695,7.82559666228449,7.74859284261638,7.82475928671654,8.23168273620822,8.18029183356588,8.31602427418124,8.01817412613039,8.78520550264749,8.07097833545367
"HOA7812A219",7.9587344997558,7.64706350495787,7.52402303333561,7.69300698245551,7.63881924371571,7.91778294947139,8.36073611260225,7.76499130988345,7.76527098490295,8.02074808915055,7.98138497562318,7.10157229046982,7.97485664888913
"HOA7812A218",7.55030454446537,7.79143529970524,7.79785573717481,7.89306572602625,7.94393438985066,7.72542334203155,8.13364681024122,7.10157229046982,8.11262658538211,8.1563596282953,8.00305077229737,7.10157229046982,8.03150221402581
"HOA7812A217",7.88964015991194,7.87099076727729,8.18739863363614,7.91575883290981,7.79254645471261,7.72542334203155,8.47108387705203,7.10157229046982,7.92721733231626,7.98898260629602,7.74189685466971,7.82110514095775,8.1406630446798
"HOA7812A216",7.65006359213427,7.91022349431477,7.81319793991836,7.82663539184006,7.63881924371571,7.67610915943754,8.11414307042742,7.9106258674069,8.01089626228964,8.1350237642265,7.85530850039276,7.82110514095775,8.09557004744272
"HOA7812A215",8.59475519146058,8.37216837364262,8.43549292133028,8.32253018382272,8.04618021693569,8.27691292673102,8.31938976623374,7.10157229046982,8.01808033603225,8.23703513202621,8.18367862085925,8.32390689977824,8.25834470013168
"HOA7812A214",8.77700937089322,9.11133358837901,9.03579902404993,9.03335415506237,9.20327288433166,8.78306471800813,8.55431864614548,8.53804921564004,8.41090738075178,8.34877409110628,8.76365324154071,9.37679795534415,8.51118538867902
"HOA7812A213",8.52777639216008,8.45583453015512,8.74063884398188,8.51036408171384,8.63443537982081,8.03244639125167,8.72247291239348,7.10157229046982,8.30756132195634,8.25616199217468,8.20809091283146,8.6515904750037,8.32769540164063
"HOA7812A212",8.67260780718263,9.00674512430153,8.77902953012328,8.95023125485129,8.95652916807871,8.63590389259851,8.92897687651449,9.29672607946932,8.58736153552428,8.34802449861713,8.65286484926043,8.10912368493168,8.49230570725172
